"","parameter","forkortelse","enhet","kategori_1","kategori_2","dato","sigevann","verdi","LOQ","verdi_korr","gv_min","gv_max","GV_over","provepunkt","krav"
"58","Krom (Cr)","Cr","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-21,"inn","30.9",FALSE,30.9,"50",NA,FALSE,152,TRUE
"59","Krom (Cr)","Cr","<U+00B5>g/l","tungmetaller","tungmetaller",2022-12-12,"inn","17.399999999999999",FALSE,17.4,"50",NA,FALSE,152,TRUE
"60","Krom (Cr)","Cr","<U+00B5>g/l","tungmetaller","tungmetaller",2023-02-13,"inn","29.1",FALSE,29.1,"50",NA,FALSE,152,TRUE
"61","Krom (Cr)","Cr","<U+00B5>g/l","tungmetaller","tungmetaller",2023-02-27,"inn","20.3",FALSE,20.3,"50",NA,FALSE,152,TRUE
"62","Krom (Cr)","Cr","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-14,"inn","23.5",FALSE,23.5,"50",NA,FALSE,152,TRUE
"63","Krom (Cr)","Cr","<U+00B5>g/l","tungmetaller","tungmetaller",2023-03-15,"inn","55.1",FALSE,55.1,"50",NA,TRUE,152,TRUE
"64","Krom (Cr)","Cr","<U+00B5>g/l","tungmetaller","tungmetaller",2022-10-24,"ut","3.7",FALSE,3.7,"50",NA,FALSE,151,TRUE
"65","Krom (Cr)","Cr","<U+00B5>g/l","tungmetaller","tungmetaller",2022-10-31,"ut","4.9000000000000004",FALSE,4.9,"50",NA,FALSE,151,TRUE
"66","Krom (Cr)","Cr","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-07,"ut","4",FALSE,4,"50",NA,FALSE,151,TRUE
"67","Krom (Cr)","Cr","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-21,"ut","8",FALSE,8,"50",NA,FALSE,151,TRUE
"68","Krom (Cr)","Cr","<U+00B5>g/l","tungmetaller","tungmetaller",2022-12-12,"ut","7.4",FALSE,7.4,"50",NA,FALSE,151,TRUE
"69","Krom (Cr)","Cr","<U+00B5>g/l","tungmetaller","tungmetaller",2023-02-13,"ut","5.4",FALSE,5.4,"50",NA,FALSE,151,TRUE
"70","Krom (Cr)","Cr","<U+00B5>g/l","tungmetaller","tungmetaller",2023-02-27,"ut","16.5",FALSE,16.5,"50",NA,FALSE,151,TRUE
"71","Krom (Cr)","Cr","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-14,"ut","6.2",FALSE,6.2,"50",NA,FALSE,151,TRUE
"72","Krom (Cr)","Cr","<U+00B5>g/l","tungmetaller","tungmetaller",2023-03-15,"ut","3.6",FALSE,3.6,"50",NA,FALSE,151,TRUE
"73","Kobber (Cu)","Cu","<U+00B5>g/l","tungmetaller","tungmetaller",2022-10-24,"inn","34.200000000000003",FALSE,34.2,"200",NA,FALSE,152,TRUE
"74","Kobber (Cu)","Cu","<U+00B5>g/l","tungmetaller","tungmetaller",2022-10-31,"inn","92.1",FALSE,92.1,"200",NA,FALSE,152,TRUE
"75","Kobber (Cu)","Cu","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-07,"inn","72.2",FALSE,72.2,"200",NA,FALSE,152,TRUE
"76","Kobber (Cu)","Cu","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-21,"inn","170",FALSE,170,"200",NA,FALSE,152,TRUE
"77","Kobber (Cu)","Cu","<U+00B5>g/l","tungmetaller","tungmetaller",2022-12-12,"inn","54.8",FALSE,54.8,"200",NA,FALSE,152,TRUE
"78","Kobber (Cu)","Cu","<U+00B5>g/l","tungmetaller","tungmetaller",2023-02-13,"inn","138",FALSE,138,"200",NA,FALSE,152,TRUE
"79","Kobber (Cu)","Cu","<U+00B5>g/l","tungmetaller","tungmetaller",2023-02-27,"inn","79.599999999999994",FALSE,79.6,"200",NA,FALSE,152,TRUE
"80","Kobber (Cu)","Cu","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-14,"inn","221",FALSE,221,"200",NA,TRUE,152,TRUE
"81","Kobber (Cu)","Cu","<U+00B5>g/l","tungmetaller","tungmetaller",2023-03-15,"inn","505",FALSE,505,"200",NA,TRUE,152,TRUE
"82","Kobber (Cu)","Cu","<U+00B5>g/l","tungmetaller","tungmetaller",2022-10-24,"ut","5",FALSE,5,"200",NA,FALSE,151,TRUE
"83","Kobber (Cu)","Cu","<U+00B5>g/l","tungmetaller","tungmetaller",2022-10-31,"ut",NA,NA,NA,"200",NA,NA,151,TRUE
"84","Kobber (Cu)","Cu","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-07,"ut","17.3",FALSE,17.3,"200",NA,FALSE,151,TRUE
"85","Kobber (Cu)","Cu","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-21,"ut","11.3",FALSE,11.3,"200",NA,FALSE,151,TRUE
"86","Kobber (Cu)","Cu","<U+00B5>g/l","tungmetaller","tungmetaller",2022-12-12,"ut","14.2",FALSE,14.2,"200",NA,FALSE,151,TRUE
"87","Kobber (Cu)","Cu","<U+00B5>g/l","tungmetaller","tungmetaller",2023-02-13,"ut","8.6",FALSE,8.6,"200",NA,FALSE,151,TRUE
"88","Kobber (Cu)","Cu","<U+00B5>g/l","tungmetaller","tungmetaller",2023-02-27,"ut","5.9",FALSE,5.9,"200",NA,FALSE,151,TRUE
"89","Kobber (Cu)","Cu","<U+00B5>g/l","tungmetaller","tungmetaller",2022-11-14,"ut","11.1",FALSE,11.1,"200",NA,FALSE,151,TRUE
"90","Kobber (Cu)","Cu","<U+00B5>g/l","tungmetaller","tungmetaller",2023-03-15,"ut","2.6",FALSE,2.6,"200",NA,FALSE,151,TRUE
"91","Di-(2-etylheksyl)ftalat","DEHP","<U+00B5>g/l","org milj","ftalat",2022-11-14,"inn","2.2000000000000002",FALSE,2.2,"m<U+00E5>lekrav",NA,FALSE,152,TRUE
"92","Di-(2-etylheksyl)ftalat","DEHP","<U+00B5>g/l","org milj","ftalat",2022-10-24,"inn","18.899999999999999",FALSE,18.9,"m<U+00E5>lekrav",NA,FALSE,152,TRUE
"93","Di-(2-etylheksyl)ftalat","DEHP","<U+00B5>g/l","org milj","ftalat",2022-10-31,"inn","38.700000000000003",FALSE,38.7,"m<U+00E5>lekrav",NA,FALSE,152,TRUE
"94","Di-(2-etylheksyl)ftalat","DEHP","<U+00B5>g/l","org milj","ftalat",2022-11-07,"inn","22.3",FALSE,22.3,"m<U+00E5>lekrav",NA,FALSE,152,TRUE
